dataset,split,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new2,train,pv,1014,1014,0.998,0.993,0.995,0.995,0.914,0.998,0.993,0.995,14.005674839019775
synth_new2,val,pv,225,225,1.0,1.0,1.0,0.995,0.915,1.0,1.0,1.0,7.102299928665161
synth_new2,test,pv,114,114,0.999,0.991,0.995,0.995,0.728,0.999,0.991,0.995,6.780594348907471
synth_new1,train,pv,789,789,0.999,0.99,0.994,0.995,0.89,0.999,0.99,0.994,11.769927978515625
synth_new1,val,pv,225,225,1.0,1.0,1.0,0.995,0.893,1.0,1.0,1.0,7.596285104751587
synth_new1,test,pv,114,114,0.999,1.0,1.0,0.995,0.892,0.999,1.0,1.0,6.555319786071777
synth_old,train,pv,150,374,0.432,0.283,0.342,0.276,0.134,0.364,0.251,0.297,7.438368797302246
synth_old,val,pv,12,35,0.688,0.686,0.687,0.674,0.355,0.646,0.6,0.622,5.06260347366333
synth_old,test,pv,18,32,0.441,0.469,0.454,0.379,0.19,0.494,0.25,0.332,5.728304147720337
mix_synth_rzesz,train,pv,1449,2706,0.952,0.885,0.917,0.954,0.776,0.934,0.866,0.899,16.2545907497406
rzeszow,train,pv,435,1692,0.909,0.837,0.872,0.917,0.687,0.888,0.795,0.839,9.963191032409668
rzeszow,val,pv,661,2767,0.679,0.487,0.567,0.529,0.356,0.67,0.48,0.559,10.823152780532837
rzeszow,test,pv,8440,66301,0.637,0.42,0.506,0.444,0.263,0.621,0.406,0.491,227.48475217819214
pilot,test,pv,54,227,0.275,0.137,0.183,0.121,0.049,0.217,0.11,0.146,9.756635189056396
